Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.9957264957264957,0.6147757255936676,0.01559792027729636,0.7601957585644371,0.9957264957264957,0.6147757255936676,0.01559792027729636,0.7601957585644371,932,9,4,584,-
CLASSES,0.9967914438502674,0.6147757255936676,0.01559792027729636,0.7605059159526725,0.9967914438502674,0.6147757255936676,0.01559792027729636,0.7605059159526725,932,9,3,584,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,1,0,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
