Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.8906084656084656,0.49316136467050836,0.4931613646705084,0.6348074320973323,0.879746835443038,0.4557377049180328,0.4557377049180328,0.6004319654427647,139,139,19,166,-
CLASSES,0.8906084656084656,0.5818579121047248,0.5818579121047248,0.7038633820712908,0.879746835443038,0.5366795366795367,0.5366795366795367,0.6666666666666667,139,139,19,120,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,46,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
