Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.9152892561983471,0.8766490765171504,0.6967071057192374,0.8955525606469004,0.9152892561983471,0.8766490765171504,0.6967071057192374,0.8955525606469004,1329,402,123,187,-
CLASSES,0.9152892561983471,0.8766490765171504,0.6967071057192374,0.8955525606469004,0.9152892561983471,0.8766490765171504,0.6967071057192374,0.8955525606469004,1329,402,123,187,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
