Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.9411764705882353,0.8,0.8,0.8648648648648648,16,1,4,0
CLASSES,0.9411764705882353,0.8,0.8,0.8648648648648648,16,1,4,-
PROPERTIES,0.0,0.0,0.0,NaN,0,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
