Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.7372397443826016,0.5259189940380449,0.5259189940380449,0.6139028657876333,0.7122641509433962,0.49508196721311476,0.49508196721311476,0.5841392649903288,151,151,61,154,-
CLASSES,0.8612193362193362,0.5866198168666295,0.5866198168666296,0.6978790816896637,0.8545454545454545,0.5444015444015444,0.5444015444015444,0.6650943396226415,141,141,24,118,-
PROPERTIES,0.12962962962962962,0.13015873015873017,0.13015873015873017,0.12989364109527043,0.2127659574468085,0.21739130434782608,0.21739130434782608,0.21505376344086022,10,10,37,36,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
