Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,13,2,2,0
CLASSES,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,9,2,2,-
PROPERTIES,1.0,1.0,1.0,1.0,4,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
