Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.7375111072889284,0.7302806935735805,0.7302806935735804,0.7338780917466493,0.7222222222222222,0.7245901639344262,0.7245901639344262,0.7234042553191489,221,221,85,84,-
CLASSES,0.7577510848939419,0.7726544120463701,0.7726544120463701,0.7651301830093495,0.75,0.7644787644787645,0.7644787644787645,0.7571701720841301,198,198,66,61,-
PROPERTIES,0.4305555555555555,0.3674603174603175,0.36746031746031743,0.396513619536991,0.5476190476190477,0.5,0.5,0.5227272727272727,23,23,19,23,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
