Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.625,0.7692307692307693,0.7692307692307693,0.6896551724137931,10,6,3,0
CLASSES,0.6666666666666666,1.0,1.0,0.8,8,4,0,-
PROPERTIES,0.5,0.4,0.4,0.4444444444444445,2,2,3,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
