Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.9466310873915944,0.9360158311345647,0.8318890814558059,0.9412935323383085,0.9466310873915944,0.9360158311345647,0.8318890814558059,0.9412935323383085,1419,480,80,97,-
CLASSES,0.9466310873915944,0.9360158311345647,0.8318890814558059,0.9412935323383085,0.9466310873915944,0.9360158311345647,0.8318890814558059,0.9412935323383085,1419,480,80,97,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
