Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.8181818181818182,0.6,0.6,0.6923076923076923,9,2,6,0
CLASSES,0.8181818181818182,0.75,0.75,0.7826086956521738,9,2,3,-
PROPERTIES,0.0,0.0,0.0,NaN,0,0,3,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
