Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.625,0.35714285714285715,0.35714285714285715,0.45454545454545453,5,3,9,0
CLASSES,0.625,0.38461538461538464,0.38461538461538464,0.4761904761904762,5,3,8,-
PROPERTIES,0.0,0.0,0.0,NaN,0,0,1,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
