Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.6153846153846154,0.64,0.64,0.6274509803921569,16,10,9,0
CLASSES,0.6153846153846154,0.6956521739130435,0.6956521739130435,0.6530612244897959,16,10,7,-
PROPERTIES,0.0,0.0,0.0,NaN,0,0,2,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
