Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.951735817104149,0.741424802110818,0.32062391681109187,0.8335187245087133,0.951735817104149,0.741424802110818,0.32062391681109187,0.8335187245087133,1124,185,57,392,-
CLASSES,0.9533502968617472,0.741424802110818,0.32062391681109187,0.8341372912801485,0.9533502968617472,0.741424802110818,0.32062391681109187,0.8341372912801485,1124,185,55,392,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,2,0,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
