Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.9949392712550608,0.6484168865435356,0.08492201039861352,0.7851437699680511,0.9949392712550608,0.6484168865435356,0.08492201039861352,0.7851437699680511,983,49,5,533,-
CLASSES,0.9959473150962512,0.6484168865435356,0.08492201039861352,0.7854574510587294,0.9959473150962512,0.6484168865435356,0.08492201039861352,0.7854574510587294,983,49,4,533,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,1,0,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
