Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.9411302982731554,0.7908970976253298,0.4540727902946274,0.8594982078853046,0.9411302982731554,0.7908970976253298,0.4540727902946274,0.8594982078853046,1199,262,75,317,-
CLASSES,0.9411302982731554,0.7908970976253298,0.4540727902946274,0.8594982078853046,0.9411302982731554,0.7908970976253298,0.4540727902946274,0.8594982078853046,1199,262,75,317,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
