Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,11,4,4,0
CLASSES,0.9166666666666666,0.7333333333333333,0.7333333333333333,0.8148148148148148,11,1,4,-
PROPERTIES,0.0,0.0,0.0,NaN,0,3,0,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
