Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.5625,0.6,0.6,0.5806451612903225,9,7,6,0
CLASSES,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.5925925925925926,8,7,4,-
PROPERTIES,1.0,0.3333333333333333,0.3333333333333333,0.5,1,0,2,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
