Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.7053385595844684,0.6086002905693597,0.6086002905693597,0.6534082651755444,0.7131474103585658,0.5868852459016394,0.5868852459016394,0.6438848920863309,179,179,72,126,-
CLASSES,0.7143400389640991,0.678902540197081,0.678902540197081,0.6961706084366005,0.7142857142857143,0.6563706563706564,0.6563706563706564,0.6841046277665996,170,170,68,89,-
PROPERTIES,0.27380952380952384,0.1222222222222222,0.12222222222222223,0.16900467601870403,0.6923076923076923,0.1956521739130435,0.1956521739130435,0.3050847457627119,9,9,4,37,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
