Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.6,0.375,0.375,0.4615384615384615,6,4,10,0
CLASSES,0.6666666666666666,0.4,0.4,0.5,4,2,6,-
PROPERTIES,0.5,0.3333333333333333,0.3333333333333333,0.4,2,2,4,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
