Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.875,0.7,0.7,0.7777777777777777,7,1,3,0
CLASSES,0.875,0.7,0.7,0.7777777777777777,7,1,3,-
PROPERTIES,0.0,0.0,0.0,NaN,0,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
