Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.6982171423347895,0.5817194856051268,0.5817194856051269,0.6346666046012114,0.6827309236947792,0.5573770491803278,0.5573770491803278,0.6137184115523466,170,170,79,135,-
CLASSES,0.7287899270042126,0.6462102179902115,0.6462102179902115,0.6850202879074931,0.7098214285714286,0.6138996138996139,0.6138996138996139,0.6583850931677019,159,159,65,100,-
PROPERTIES,0.23015873015873015,0.14206349206349206,0.14206349206349206,0.17568619487596032,0.44,0.2391304347826087,0.2391304347826087,0.3098591549295775,11,11,14,35,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
