Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.8461538461538461,0.7333333333333333,0.7333333333333333,0.7857142857142856,11,2,4,0
CLASSES,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2,-
PROPERTIES,1.0,0.3333333333333333,0.3333333333333333,0.5,1,0,2,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
