Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.9914346895074947,0.6108179419525066,0.01386481802426343,0.7559183673469388,0.9914346895074947,0.6108179419525066,0.01386481802426343,0.7559183673469388,926,8,8,590,-
CLASSES,0.9914346895074947,0.6108179419525066,0.01386481802426343,0.7559183673469388,0.9914346895074947,0.6108179419525066,0.01386481802426343,0.7559183673469388,926,8,8,590,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
