Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.8090179661608234,0.5141004985238972,0.5141004985238972,0.6286913089330598,0.7819148936170213,0.4819672131147541,0.4819672131147541,0.5963488843813387,147,147,41,158,-
CLASSES,0.8906084656084655,0.5818579121047247,0.5818579121047248,0.7038633820712905,0.879746835443038,0.5366795366795367,0.5366795366795367,0.6666666666666667,139,139,19,120,-
PROPERTIES,0.15,0.1103174603174603,0.1103174603174603,0.1271341463414634,0.27586206896551724,0.17391304347826086,0.17391304347826086,0.21333333333333332,8,8,21,38,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,1,0,-
