Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.9278642149929278,0.8654353562005277,0.6516464471403813,0.8955631399317406,0.9278642149929278,0.8654353562005277,0.6516464471403813,0.8955631399317406,1312,376,102,204,-
CLASSES,0.9285208775654635,0.8654353562005277,0.6516464471403813,0.895868897234551,0.9285208775654635,0.8654353562005277,0.6516464471403813,0.895868897234551,1312,376,101,204,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,1,0,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
