Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.8,0.7272727272727273,0.7272727272727273,0.761904761904762,8,2,3,0
CLASSES,0.8,0.7272727272727273,0.7272727272727273,0.761904761904762,8,2,3,-
PROPERTIES,0.0,0.0,0.0,NaN,0,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
