Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.65,0.5652173913043478,0.5652173913043478,0.6046511627906976,13,7,10,0
CLASSES,0.7333333333333333,0.5789473684210527,0.5789473684210527,0.6470588235294117,11,4,8,-
PROPERTIES,0.4,0.5,0.5,0.4444444444444445,2,3,2,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
