Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.9111584932480455,0.8456464379947229,0.5944540727902946,0.8771809784468012,0.9111584932480455,0.8456464379947229,0.5944540727902946,0.8771809784468012,1282,343,125,234,-
CLASSES,0.9124555160142349,0.8456464379947229,0.5944540727902946,0.8777815816501198,0.9124555160142349,0.8456464379947229,0.5944540727902946,0.8777815816501198,1282,343,123,234,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,2,0,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
