Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,1.0,0.6666666666666666,0.6666666666666666,0.8,10,0,5,0
CLASSES,1.0,0.6363636363636364,0.6363636363636364,0.7777777777777778,7,0,4,-
PROPERTIES,1.0,0.75,0.75,0.8571428571428571,3,0,1,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
