Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.7692307692307693,0.8333333333333334,0.8333333333333334,0.8,10,3,2,0
CLASSES,0.9,0.9,0.9,0.9,9,1,1,-
PROPERTIES,0.3333333333333333,0.5,0.5,0.4,1,2,1,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
