Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.9949392712550608,0.6484168865435356,0.08492201039861352,0.7851437699680511,983,5,533,0
CLASSES,0.9959473150962512,0.6484168865435356,0.08492201039861352,0.7854574510587294,983,4,533,-
PROPERTIES,0.0,0.0,0.0,NaN,0,1,0,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
