Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.7272727272727273,0.5333333333333333,0.5333333333333333,0.6153846153846153,8,3,7,0
CLASSES,0.7,0.5833333333333334,0.5833333333333334,0.6363636363636365,7,3,5,-
PROPERTIES,1.0,0.3333333333333333,0.3333333333333333,0.5,1,0,2,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
