Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.6049084280176716,0.596841171809635,0.5968411718096353,0.6008477224664316,0.5833333333333334,0.5737704918032787,0.5737704918032787,0.5785123966942148,175,175,125,130,-
CLASSES,0.738636550191172,0.6580464206649235,0.6580464206649235,0.6960164162775746,0.7232142857142857,0.6254826254826255,0.6254826254826255,0.670807453416149,162,162,62,97,-
PROPERTIES,0.12248677248677248,0.18174603174603177,0.18174603174603177,0.14634506556245688,0.17105263157894737,0.2826086956521739,0.2826086956521739,0.21311475409836064,13,13,63,33,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
