Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.625,0.3333333333333333,0.3333333333333333,0.43478260869565216,5,3,10,0
CLASSES,0.625,0.45454545454545453,0.45454545454545453,0.5263157894736842,5,3,6,-
PROPERTIES,0.0,0.0,0.0,NaN,0,0,4,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
