Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.959051724137931,0.29353562005277045,0.0017331022530329288,0.44949494949494956,0.959051724137931,0.29353562005277045,0.0017331022530329288,0.44949494949494956,445,1,19,1071,-
CLASSES,0.9632034632034632,0.29353562005277045,0.0017331022530329288,0.4499494438827098,0.9632034632034632,0.29353562005277045,0.0017331022530329288,0.4499494438827098,445,1,17,1071,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,2,0,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
