Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.8402893402893403,0.6164429088255117,0.6164429088255117,0.7111676225988345,0.8181818181818182,0.5901639344262295,0.5901639344262295,0.6857142857142857,180,180,40,125,-
CLASSES,0.8642233661141224,0.6738964436578035,0.6738964436578035,0.757284379604527,0.8434343434343434,0.6447876447876448,0.6447876447876448,0.7308533916849016,167,167,31,92,-
PROPERTIES,0.39682539682539675,0.2357142857142857,0.2357142857142857,0.2957519268686144,0.5909090909090909,0.2826086956521739,0.2826086956521739,0.38235294117647056,13,13,9,33,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
