Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,1.0,0.4444444444444444,0.4444444444444444,0.6153846153846153,4,0,5,0
CLASSES,1.0,0.4444444444444444,0.4444444444444444,0.6153846153846153,4,0,5,-
PROPERTIES,0.0,0.0,0.0,NaN,0,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
