Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.7550880262954566,0.5260846255080242,0.5260846255080242,0.6201197020246277,0.722488038277512,0.49508196721311476,0.49508196721311476,0.5875486381322957,151,151,58,154,-
CLASSES,0.8575469504040935,0.5866198168666296,0.5866198168666296,0.6966702826866582,0.844311377245509,0.5444015444015444,0.5444015444015444,0.6619718309859156,141,141,26,118,-
PROPERTIES,0.14153439153439154,0.11825396825396825,0.11825396825396825,0.12885106520544404,0.24390243902439024,0.21739130434782608,0.21739130434782608,0.22988505747126436,10,10,31,36,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,1,0,-
