Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
conference,ALOD2Vec_AllPairs_Err80,PROPERTIES,0.10714285714285714,0.046825396825396826,0.03968253968253968,0.06516936671575846,0.17391304347826086,0.08695652173913043,0.06818181818181818,0.11594202898550723,4,3,19,42,23,-,-,ALOD2Vec,AllPairs
conference,ALOD2Vec_AllPairs_Err80,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,ALOD2Vec,AllPairs
conference,Paris_AllPairs_Err90,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,305,0,21214115517,00:00:21,Paris,AllPairs
conference,Paris_AllPairs_Err90,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,259,0,-,-,Paris,AllPairs
conference,Paris_AllPairs_Err90,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-,Paris,AllPairs
conference,Paris_AllPairs_Err90,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,Paris,AllPairs
conference,LogMap_AllPairs_StarOneMaxtrue,ALL,0.8054084039046445,0.6308993580718768,0.25396128148228986,0.7075525990472804,0.7905982905982906,0.6065573770491803,0.2654320987654321,0.6864564007421151,185,43,49,120,234,254966778381,00:04:14,LogMap,AllPairs
conference,LogMap_AllPairs_StarOneMaxtrue,CLASSES,0.8289191106860282,0.6933988529117656,0.2376039304610733,0.7551268187730473,0.8160377358490566,0.667953667953668,0.2796610169491525,0.7346072186836516,173,33,39,86,212,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_StarOneMaxtrue,PROPERTIES,0.38095238095238093,0.2119047619047619,0.20238095238095238,0.2723274048575253,0.5454545454545454,0.2608695652173913,0.22727272727272727,0.3529411764705882,12,10,10,34,22,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_StarOneMaxtrue,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_Err90,ALL,0.8392868340236761,0.6145381469207498,0.22855384578073656,0.7095403951317972,0.817351598173516,0.5868852459016394,0.22839506172839505,0.683206106870229,179,37,40,126,219,181451954040,00:03:01,LogMap,AllPairs
conference,LogMap_AllPairs_Err90,CLASSES,0.8642233661141224,0.6738964436578035,0.20130385487528346,0.757284379604527,0.8434343434343434,0.6447876447876448,0.2288135593220339,0.7308533916849016,167,27,31,92,198,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_Err90,PROPERTIES,0.38095238095238093,0.21190476190476187,0.20238095238095238,0.2723274048575253,0.5714285714285714,0.2608695652173913,0.22727272727272727,0.3582089552238805,12,10,9,34,21,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_Err90,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,LogMap,AllPairs
conference,ALOD2Vec_AllPairs_StarOneMaxfalse,ALL,0.5944606332561515,0.5792332492179617,0.14233309485410325,0.5867481619777843,0.568561872909699,0.5573770491803278,0.16666666666666666,0.5629139072847683,170,27,129,135,299,282692232417,00:04:42,ALOD2Vec,AllPairs
conference,ALOD2Vec_AllPairs_StarOneMaxfalse,CLASSES,0.7085426835847004,0.6320687134351731,0.10215419501133786,0.6681245041222749,0.6753246753246753,0.6023166023166023,0.1271186440677966,0.6367346938775511,156,15,75,103,231,-,-,ALOD2Vec,AllPairs
conference,ALOD2Vec_AllPairs_StarOneMaxfalse,PROPERTIES,0.14814814814814814,0.18968253968253967,0.15873015873015872,0.1663621334725485,0.20588235294117646,0.30434782608695654,0.2727272727272727,0.2456140350877193,14,12,54,32,68,-,-,ALOD2Vec,AllPairs
conference,ALOD2Vec_AllPairs_StarOneMaxfalse,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,ALOD2Vec,AllPairs
conference,LogMap_AllPairs_StarOneMinfalse,ALL,0.8392868340236762,0.6145381469207497,0.22855384578073656,0.7095403951317972,0.817351598173516,0.5868852459016394,0.22839506172839505,0.683206106870229,179,37,40,126,219,259679883183,00:04:19,LogMap,AllPairs
conference,LogMap_AllPairs_StarOneMinfalse,CLASSES,0.8642233661141225,0.6738964436578035,0.20130385487528346,0.7572843796045271,0.8434343434343434,0.6447876447876448,0.2288135593220339,0.7308533916849016,167,27,31,92,198,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_StarOneMinfalse,PROPERTIES,0.38095238095238093,0.2119047619047619,0.20238095238095238,0.2723274048575253,0.5714285714285714,0.2608695652173913,0.22727272727272727,0.3582089552238805,12,10,9,34,21,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_StarOneMinfalse,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_ConnectedComponentsfalse,ALL,0.8392868340236762,0.6145381469207498,0.22855384578073654,0.7095403951317972,0.817351598173516,0.5868852459016394,0.22839506172839505,0.683206106870229,179,37,40,126,219,247635802680,00:04:07,LogMap,AllPairs
conference,LogMap_AllPairs_ConnectedComponentsfalse,CLASSES,0.8642233661141228,0.6738964436578035,0.20130385487528346,0.757284379604527,0.8434343434343434,0.6447876447876448,0.2288135593220339,0.7308533916849016,167,27,31,92,198,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_ConnectedComponentsfalse,PROPERTIES,0.38095238095238093,0.21190476190476187,0.20238095238095238,0.2723274048575253,0.5714285714285714,0.2608695652173913,0.22727272727272727,0.3582089552238805,12,10,9,34,21,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_ConnectedComponentsfalse,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,LogMap,AllPairs
conference,Paris_AllPairs_CenterMaxfalse,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,305,0,89167134252,00:01:29,Paris,AllPairs
conference,Paris_AllPairs_CenterMaxfalse,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,259,0,-,-,Paris,AllPairs
conference,Paris_AllPairs_CenterMaxfalse,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-,Paris,AllPairs
conference,Paris_AllPairs_CenterMaxfalse,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,Paris,AllPairs
conference,AML_AllPairs_CenterMaxtrue,ALL,0.8464261267832698,0.5340768420650351,0.2680940052788792,0.6549157850937175,0.8418367346938775,0.5409836065573771,0.29012345679012347,0.658682634730539,165,47,31,140,196,353257891014,00:05:53,AML,AllPairs
conference,AML_AllPairs_CenterMaxtrue,CLASSES,0.8399429274429275,0.5692297665164615,0.22622826908541194,0.6785832829787571,0.8287292817679558,0.5791505791505791,0.288135593220339,0.6818181818181818,150,34,31,109,181,-,-,AML,AllPairs
conference,AML_AllPairs_CenterMaxtrue,PROPERTIES,0.2857142857142857,0.2007936507936508,0.19365079365079363,0.23584246096481007,1.0,0.32608695652173914,0.29545454545454547,0.4918032786885246,15,13,0,31,15,-,-,AML,AllPairs
