Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
conference,ATBox_TransitivePairsFirstVsRestInstancesAscending,PROPERTIES,0.14206349206349206,0.13968253968253969,0.13492063492063494,0.14086295551084285,0.2608695652173913,0.2608695652173913,0.25,0.2608695652173913,12,11,34,34,46,-,-,ATBox,TransitivePairsFirstVsRestInstancesAscending
conference,ATBox_TransitivePairsFirstVsRestInstancesAscending,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,ATBox,TransitivePairsFirstVsRestInstancesAscending
conference,AML_IncrementalMergeTextSingle,ALL,0.7794263725895075,0.6239568492758693,0.2907336672042554,0.6930800028192459,0.7695473251028807,0.6131147540983607,0.32098765432098764,0.6824817518248175,187,52,56,118,243,86674714455,00:01:26,AML,IncrementalMergeTextSingle
conference,AML_IncrementalMergeTextSingle,CLASSES,0.7658597804514868,0.6524148054795327,0.21591080876795163,0.7046001735409454,0.75,0.6486486486486487,0.2966101694915254,0.6956521739130435,168,35,56,91,224,-,-,AML,IncrementalMergeTextSingle
conference,AML_IncrementalMergeTextSingle,PROPERTIES,0.47619047619047616,0.28809523809523807,0.28095238095238095,0.3589971814270879,1.0,0.41304347826086957,0.38636363636363635,0.5846153846153846,19,17,0,27,19,-,-,AML,IncrementalMergeTextSingle
conference,AML_IncrementalMergeTextSingle,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,AML,IncrementalMergeTextSingle
conference,AML_TransitivePairsFirstVsRestClassesDescending,ALL,0.929635642135642,0.3539280550605859,0.09511198418761445,0.5126728583159146,0.8952380952380953,0.3081967213114754,0.08641975308641975,0.4585365853658537,94,14,11,211,105,78333097500,00:01:18,AML,TransitivePairsFirstVsRestClassesDescending
conference,AML_TransitivePairsFirstVsRestClassesDescending,CLASSES,0.9296356421356422,0.40206601935107983,0.11407785336356767,0.5613493065152106,0.8952380952380953,0.36293436293436293,0.11864406779661017,0.5164835164835164,94,14,11,165,105,-,-,AML,TransitivePairsFirstVsRestClassesDescending
conference,AML_TransitivePairsFirstVsRestClassesDescending,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-,AML,TransitivePairsFirstVsRestClassesDescending
conference,AML_TransitivePairsFirstVsRestClassesDescending,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,AML,TransitivePairsFirstVsRestClassesDescending
conference,LogMap_TransitivePairsWindowInstancesDescending,ALL,0.8425606139891855,0.2831145892913964,0.059511077158135986,0.42381888041500554,0.8260869565217391,0.24918032786885247,0.06172839506172839,0.3828715365239294,76,10,16,229,92,50026526298,00:00:50,LogMap,TransitivePairsWindowInstancesDescending
conference,LogMap_TransitivePairsWindowInstancesDescending,CLASSES,0.8454648526077099,0.3247215710929343,0.07023809523809524,0.4692255348073743,0.8314606741573034,0.2857142857142857,0.06779661016949153,0.42528735632183906,74,8,15,185,89,-,-,LogMap,TransitivePairsWindowInstancesDescending
conference,LogMap_TransitivePairsWindowInstancesDescending,PROPERTIES,0.09523809523809523,0.023809523809523808,0.023809523809523808,0.03809523809523809,0.6666666666666666,0.043478260869565216,0.045454545454545456,0.08163265306122448,2,2,1,44,3,-,-,LogMap,TransitivePairsWindowInstancesDescending
conference,LogMap_TransitivePairsWindowInstancesDescending,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,LogMap,TransitivePairsWindowInstancesDescending
conference,AML_IncrementalMergeInstancesAscending,ALL,0.7502447699727662,0.7109433137287781,0.4183053019187473,0.7300654978254933,0.7517985611510791,0.6852459016393443,0.4074074074074074,0.7169811320754718,209,66,69,96,278,83552437899,00:01:23,AML,IncrementalMergeInstancesAscending
conference,AML_IncrementalMergeInstancesAscending,CLASSES,0.7347900954844784,0.7595232150315512,0.39011715797430097,0.7469519702036073,0.7335907335907336,0.7335907335907336,0.4152542372881356,0.7335907335907336,190,49,69,69,259,-,-,AML,IncrementalMergeInstancesAscending
conference,AML_IncrementalMergeInstancesAscending,PROPERTIES,0.47619047619047616,0.28809523809523807,0.28095238095238095,0.3589971814270879,1.0,0.41304347826086957,0.38636363636363635,0.5846153846153846,19,17,0,27,19,-,-,AML,IncrementalMergeInstancesAscending
conference,AML_IncrementalMergeInstancesAscending,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,AML,IncrementalMergeInstancesAscending
conference,Paris_IncrementalMergeModelSizeAscending,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,305,0,5548085949,00:00:05,Paris,IncrementalMergeModelSizeAscending
conference,Paris_IncrementalMergeModelSizeAscending,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,259,0,-,-,Paris,IncrementalMergeModelSizeAscending
conference,Paris_IncrementalMergeModelSizeAscending,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-,Paris,IncrementalMergeModelSizeAscending
