Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
knowledgegraph,ATBox_TransitivePairsFirstVsRestInstancesAscending,ALL,0.8157917516721079,0.19805878593069287,0.14936878176066032,0.3187347994912275,0.9247378161628624,0.09759749983722898,0.06086506086506086,0.17656065959952888,1499,235,122,13860,3354,806046939600,00:13:26,ATBox,TransitivePairsFirstVsRestInstancesAscending
knowledgegraph,ATBox_TransitivePairsFirstVsRestInstancesAscending,CLASSES,0.95,0.5115750915750915,0.16,0.665030951605223,0.9545454545454546,0.42857142857142855,0.23809523809523808,0.5915492957746478,21,5,1,28,58,-,-,ATBox,TransitivePairsFirstVsRestInstancesAscending
knowledgegraph,ATBox_TransitivePairsFirstVsRestInstancesAscending,PROPERTIES,0.9260130718954247,0.7046442765701855,0.7046442765701855,0.8003027880189237,0.9545454545454546,0.6961325966850829,0.6961325966850829,0.805111821086262,126,126,6,55,265,-,-,ATBox,TransitivePairsFirstVsRestInstancesAscending
knowledgegraph,ATBox_TransitivePairsFirstVsRestInstancesAscending,INSTANCES,0.7260849310126284,0.19006526095234,0.09990065622825121,0.30126833590567853,0.9216087252897068,0.08936479608698526,0.028423066411587865,0.16293082670523015,1352,104,115,13777,3031,-,-,ATBox,TransitivePairsFirstVsRestInstancesAscending
knowledgegraph,AML_IncrementalMergeTextSingle,ALL,0.8828036241723494,0.795696937613967,0.4346768783414065,0.8369900567931718,0.8917224080267558,0.8332573735269223,0.4799274799274799,0.8614991080744506,12798,1853,1554,2561,25442,23900484038465,06:38:20,AML,IncrementalMergeTextSingle
knowledgegraph,AML_IncrementalMergeTextSingle,CLASSES,0.9666666666666668,0.8146520146520146,0.35333333333333333,0.8841730070601138,0.95,0.7755102040816326,0.47619047619047616,0.8539325842696629,38,10,2,11,119,-,-,AML,IncrementalMergeTextSingle
knowledgegraph,AML_IncrementalMergeTextSingle,PROPERTIES,0.9081965601965601,0.5661826668499471,0.566182666849947,0.6975208834244069,0.85,0.6574585635359116,0.6574585635359116,0.7414330218068537,119,119,21,62,250,-,-,AML,IncrementalMergeTextSingle
knowledgegraph,AML_IncrementalMergeTextSingle,INSTANCES,0.8824121182492165,0.8002780726506726,0.41304470694718337,0.8393405667842203,0.8919700818515383,0.8355476237689207,0.47116698551516806,0.8628374458209618,12641,1724,1531,2488,25073,-,-,AML,IncrementalMergeTextSingle
knowledgegraph,AML_TransitivePairsFirstVsRestClassesDescending,ALL,0.613138094479663,0.23456357924103538,0.16652615059757217,0.33931716892554775,0.8398058252427184,0.21401132886255617,0.12535612535612536,0.34109894671301827,3287,484,627,12072,6782,8105355349955,02:15:05,AML,TransitivePairsFirstVsRestClassesDescending
knowledgegraph,AML_TransitivePairsFirstVsRestClassesDescending,CLASSES,1.0,0.5965567765567765,0.33999999999999997,0.7473041802413619,1.0,0.4897959183673469,0.3333333333333333,0.6575342465753424,24,7,0,25,72,-,-,AML,TransitivePairsFirstVsRestClassesDescending
