Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.6842105263157895,0.8666666666666667,0.8666666666666667,0.7647058823529413,13,6,2,0
CLASSES,0.6842105263157895,0.8666666666666667,0.8666666666666667,0.7647058823529413,13,6,2,-
PROPERTIES,0.0,0.0,0.0,NaN,0,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
