Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.6153846153846154,0.32,0.32,0.4210526315789474,8,5,17,0
CLASSES,0.6153846153846154,0.34782608695652173,0.34782608695652173,0.4444444444444444,8,5,15,-
PROPERTIES,0.0,0.0,0.0,NaN,0,0,2,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
