Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.5864112197040103,0.5416904385411971,0.5416904385411973,0.5631644071174614,0.5912408759124088,0.5311475409836065,0.5311475409836065,0.5595854922279793,162,162,112,143,-
CLASSES,0.5864112197040104,0.6330830832383627,0.6330830832383627,0.6088540506012139,0.5912408759124088,0.6254826254826255,0.6254826254826255,0.6078799249530956,162,162,112,97,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,46,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
