Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.875,0.5,0.5,0.6363636363636364,7,1,7,0
CLASSES,0.875,0.5384615384615384,0.5384615384615384,0.6666666666666667,7,1,6,-
PROPERTIES,0.0,0.0,0.0,NaN,0,0,1,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
