Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.5882352941176471,0.43478260869565216,0.43478260869565216,0.5,10,7,13,0
CLASSES,0.6923076923076923,0.47368421052631576,0.47368421052631576,0.5625,9,4,10,-
PROPERTIES,0.25,0.25,0.25,0.25,1,3,3,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
