Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.845417112319743,0.6783082288601681,0.6783082288601681,0.752699149390826,0.8410041841004184,0.659016393442623,0.659016393442623,0.7389705882352942,201,201,38,104,-
CLASSES,0.8360228029254337,0.723738058945643,0.723738058945643,0.7758388294186613,0.8272727272727273,0.7027027027027027,0.7027027027027027,0.7599164926931107,182,182,38,77,-
PROPERTIES,0.47619047619047616,0.2880952380952381,0.28809523809523807,0.35899718142708803,1.0,0.41304347826086957,0.41304347826086957,0.5846153846153846,19,19,0,27,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
