Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5217391304347826,6,8,3,0
CLASSES,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5217391304347826,6,8,3,-
PROPERTIES,0.0,0.0,0.0,NaN,0,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
