Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.7799939633973247,0.4882205813396321,0.4882205813396322,0.600543666419202,0.7473118279569892,0.4557377049180328,0.4557377049180328,0.5661914460285132,139,139,47,166,-
CLASSES,0.8279257779257779,0.559718147107817,0.5597181471078169,0.6679020085822022,0.8544303797468354,0.5212355212355212,0.5212355212355212,0.6474820143884892,135,135,23,124,-
PROPERTIES,0.07936507936507937,0.06507936507936508,0.06507936507936508,0.0715157858015001,0.2222222222222222,0.08695652173913043,0.08695652173913043,0.125,4,4,14,42,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
