Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.8719247467438495,0.7948548812664907,0.512998266897747,0.831608005521049,1205,177,311,0
CLASSES,0.8719247467438495,0.7948548812664907,0.512998266897747,0.831608005521049,1205,177,311,-
PROPERTIES,0.0,0.0,0.0,NaN,0,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
