Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.8719247467438495,0.7948548812664907,0.512998266897747,0.831608005521049,0.8719247467438495,0.7948548812664907,0.512998266897747,0.831608005521049,1205,296,177,311,-
CLASSES,0.8719247467438495,0.7948548812664907,0.512998266897747,0.831608005521049,0.8719247467438495,0.7948548812664907,0.512998266897747,0.831608005521049,1205,296,177,311,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
