Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.7692307692307693,0.5,0.5,0.6060606060606061,10,3,10,0
CLASSES,0.8333333333333334,0.5,0.5,0.625,10,2,10,-
PROPERTIES,0.0,0.0,0.0,NaN,0,1,0,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
