Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.6190476190476191,0.52,0.52,0.5652173913043478,13,8,12,0
CLASSES,0.6,0.5217391304347826,0.5217391304347826,0.5581395348837209,12,8,11,-
PROPERTIES,1.0,0.5,0.5,0.6666666666666666,1,0,1,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
