Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.5,1.0,1.0,0.6666666666666666,4,4,0,0
CLASSES,0.6666666666666666,1.0,1.0,0.8,4,2,0,-
PROPERTIES,0.0,0.0,0.0,NaN,0,2,0,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
