Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,9,4,4,0
CLASSES,1.0,1.0,1.0,1.0,8,0,0,-
PROPERTIES,0.2,0.2,0.2,0.20000000000000004,1,4,4,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
