Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.8803582853486884,0.9076517150395779,0.75736568457539,0.8937966872361157,0.8803582853486884,0.9076517150395779,0.75736568457539,0.8937966872361157,1376,437,187,140,-
CLASSES,0.8814862267777066,0.9076517150395779,0.75736568457539,0.894377640558986,0.8814862267777066,0.9076517150395779,0.75736568457539,0.894377640558986,1376,437,185,140,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,2,0,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
