Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN",Time
ALL,0.6,0.391304347826087,0.391304347826087,0.47368421052631576,9,6,14,0
CLASSES,0.75,0.47368421052631576,0.47368421052631576,0.5806451612903226,9,3,10,-
PROPERTIES,0.0,0.0,0.0,NaN,0,3,4,-
INSTANCES,0.0,0.0,0.0,NaN,0,0,0,-
