Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN",Total Runtime
ALL,0.8880494505494505,0.8529023746701847,0.6516464471403813,0.870121130551817,0.8880494505494505,0.8529023746701847,0.6516464471403813,0.870121130551817,1293,376,163,223,-
CLASSES,0.8880494505494505,0.8529023746701847,0.6516464471403813,0.870121130551817,0.8880494505494505,0.8529023746701847,0.6516464471403813,0.870121130551817,1293,376,163,223,-
PROPERTIES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
INSTANCES,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0,0,0,0,-
